I0,I1,I2,I3,I4,I5,I6,I7,I8,new_col
-83.242905,-3.125194,-0.159599,-0.009591,9.2e-05,4.277446,-0.158949,0.987287,9.850256,0
-82.97316,-3.094498,-0.159706,-0.019298,0.000372,1.875813,-0.159028,0.987271,9.834103,0
-82.69368,-3.083373,-0.159784,-0.018721,0.00035,-1.958804,-0.159143,0.987255,9.810769,0
-82.574539,-3.080181,-0.159882,-0.016812,0.000283,-4.203135,-0.159247,0.987239,9.759615,0
-82.368042,-3.071661,-0.160007,-0.016652,0.000277,0.718698,-0.159356,0.987221,9.764999,0
-82.176208,-3.06627,-0.160095,-0.015721,0.000247,-3.733783,-0.159443,0.987208,9.821538,0
-81.954712,-3.044765,-0.160209,-0.022287,0.000497,0.444237,-0.159539,0.987192,9.899615,0
-81.796387,-3.046351,-0.16029,-0.016119,0.00026,-2.311682,-0.159635,0.987176,9.835,0
-81.502136,-3.044486,-0.160373,-0.012706,0.000161,0.097677,-0.159686,0.987164,9.896026,0
-81.332123,-3.05196,-0.160435,-0.006509,4.2e-05,4.36039,-0.159748,0.987157,9.888846,0
-81.129059,-3.031416,-0.160475,-0.01178,0.000139,1.248453,-0.159795,0.98715,9.889744,0
-80.974213,-3.050982,-0.160494,-0.000429,0.0,0.367655,-0.159805,0.987148,9.90141,0
-80.773254,-3.034594,-0.160525,-0.004431,2e-05,2.861083,-0.159836,0.987144,9.93641,0
-80.655182,-3.048346,-0.160497,0.006846,4.7e-05,-0.834713,-0.159805,0.987149,9.869102,0
-80.534668,-3.037287,-0.160486,0.003183,1e-05,4.26449,-0.159779,0.987153,9.972307,0
-80.459045,-3.041271,-0.160437,0.008911,7.9e-05,2.300343,-0.15975,0.98716,9.976794,0
-80.367432,-3.05612,-0.160374,0.013757,0.000189,1.947156,-0.159688,0.987172,10.20923,0
-80.222839,-3.124177,-0.160284,0.014567,0.000212,-2.446112,-0.159587,0.987184,10.035128,0
-80.130814,-3.185827,-0.160155,0.021589,0.000466,-4.486175,-0.159426,0.98721,9.844872,0
-79.996063,-3.266022,-0.159986,0.034,0.001156,4.67465,-0.159228,0.987242,9.93282,0
-79.940033,-3.312152,-0.159732,0.043346,0.001879,0.753477,-0.159012,0.987276,10.101539,0
-79.784637,-3.338164,-0.159466,0.048538,0.002356,1.043786,-0.158699,0.987327,9.784743,0
-79.741791,-3.360178,-0.159187,0.054843,0.003008,6.801346,-0.158516,0.987375,9.769487,0
-79.624054,-3.335218,-0.15888,0.045073,0.002032,-2.300455,-0.158102,0.987423,10.027051,0
-79.501801,-3.362185,-0.158512,0.067403,0.004543,4.204906,-0.157723,0.987483,10.067435,0
-79.408966,-3.352991,-0.158111,0.069363,0.004811,0.407653,-0.157316,0.987549,10.185897,0
-79.263412,-3.331496,-0.157682,0.072543,0.005263,0.851157,-0.15688,0.987617,10.207436,0
-79.162415,-3.331934,-0.15723,0.077379,0.005988,2.585765,-0.156503,0.987677,10.132051,0
-79.067673,-3.357291,-0.156738,0.085307,0.007277,3.077877,-0.155922,0.987769,10.079103,0
-78.944,-3.365561,-0.156204,0.088273,0.007792,2.278568,-0.155569,0.987852,9.984872,0
-78.848999,-3.395162,-0.155648,0.097238,0.009455,-2.134789,-0.15502,0.987942,10.28641,0
-78.718231,-3.415769,-0.155041,0.10254,0.010514,1.864675,-0.154211,0.988038,10.228077,0
-78.559311,-3.449446,-0.154375,0.110495,0.012209,-0.280526,-0.153541,0.988142,10.272948,0
-78.425201,-3.478816,-0.153672,0.12232,0.014962,3.939962,-0.152824,0.988254,10.058461,0
-78.256012,-3.500446,-0.152922,0.127631,0.01629,2.487164,-0.152193,0.988351,10.185897,0
-78.11969,-3.541897,-0.152081,0.140962,0.01987,1.08336,-0.150519,0.9885,10.255898,0
-77.972031,-3.56129,-0.15124,0.146079,0.021339,4.271674,-0.149687,0.98863,10.368974,0
-77.829483,-3.615526,-0.150312,0.156932,0.024628,-2.94428,-0.149747,0.988773,10.269359,0
-77.680756,-3.670415,-0.149302,0.177713,0.031582,6.153062,-0.148393,0.988928,10.210128,0
-77.498947,-3.702737,-0.14822,0.179221,0.03212,2.527893,-0.146701,0.989091,10.167949,0
-77.356216,-3.746694,-0.147061,0.19816,0.039267,5.996997,-0.145555,0.989264,10.208333,0
-77.180313,-3.820682,-0.145817,0.218498,0.047742,8.161741,-0.145087,0.989419,10.299871,0
-77.017242,-3.859813,-0.144535,0.222352,0.04944,6.667717,-0.143582,0.989638,10.310641,0
-76.845306,-3.907738,-0.143167,0.229897,0.052852,7.373037,-0.141702,0.989835,10.206538,0
-76.646637,-3.958879,-0.141764,0.237366,0.056343,2.005514,-0.140816,0.990035,10.224487,0
-76.567535,-4.027524,-0.140305,0.244236,0.059651,-0.612151,-0.139349,0.990243,10.210128,0
-76.471008,-4.108531,-0.138805,0.250735,0.062868,7.588984,-0.137844,0.990454,10.336666,0
-76.294403,-4.148676,-0.137256,0.261019,0.068131,6.902956,-0.136303,0.990667,10.319615,0
-76.187378,-4.234208,-0.135649,0.273143,0.074607,4.542115,-0.134959,0.990851,10.318718,0
-76.077286,-4.313582,-0.133965,0.282447,0.079776,3.177837,-0.132993,0.991117,10.311539,0
-75.921799,-4.369754,-0.132228,0.290823,0.084578,7.6017,-0.130866,0.991346,10.257692,0
-75.864243,-4.461554,-0.130467,0.302082,0.091254,5.30267,-0.129495,0.99158,10.338461,0
-75.782394,-4.573095,-0.12863,0.306466,0.093921,-0.572087,-0.127665,0.991818,10.342052,0
-75.761444,-4.649024,-0.126761,0.314035,0.098618,9.239248,-0.125788,0.992057,10.313334,0
-75.665466,-4.742962,-0.12483,0.325232,0.105776,6.100156,-0.12386,0.9923,10.316923,0
-75.647797,-4.803893,-0.122843,0.336888,0.113493,8.151151,-0.122204,0.992505,10.180512,0
